,link,datetime
98,https://www.thenews.com.pk/print/732951-centre-sindh-face-off-on-police-islands,"October 22, 2020"
99,https://www.thenews.com.pk/print/137226-Honour-killings-to-beFasad-Fil-Ardh-invite-25-year-jail-term,"July 24, 2016"
100,https://www.thenews.com.pk/latest/448677-two-women-lose-their-lives-in-the-name-of-honour-in-toba-tek-singh,"March 25, 2019"
101,https://www.thenews.com.pk/latest/547542-kayla-mueller-is-victim-who-gave-name-to-anti-baghdadi-operation,"October 29, 2019"
102,https://www.thenews.com.pk/print/478047-question-of-honour,"May 30, 2019"
103,https://www.thenews.com.pk/latest/728851-main-suspect-in-lahore-motorway-gang-rape-case-sent-on-14-day-judicial-remand,"October 13, 2020"
104,https://www.thenews.com.pk/print/731758-rural-poverty-can-be-contained-by-launching-technical-courses-for-women,"October 20, 2020"
105,https://www.thenews.com.pk/print/574353-function-at-sbbwu-panel-wants-ways-found-to-end-gender-based-violence,"November 26, 2019"
106,https://www.thenews.com.pk/latest/458786-when-female-microentrepreneurs-win,"April 16, 2019"
107,https://www.thenews.com.pk/print/113332-three-die-in-sahiwal-windstorm,"April 17, 2016"
108,https://www.thenews.com.pk/print/145301-Lower-Dir-police-solve-womans-blind-murder-case,"August 26, 2016"
109,https://www.thenews.com.pk/print/714363-violence-against-women,"September 14, 2020"
110,https://www.thenews.com.pk/print/118540-Honour-killings-continue-due-to-lacunas-in-laws,"May 9, 2016"
111,https://www.thenews.com.pk/print/136901-Bail-plea-in-child-abuse-case-dismissed,"July 23, 2016"
112,https://www.thenews.com.pk/latest/737079-queen-elizabeth-her-sister-margaret-allegedly-spotted-ghost-in-windsor-castle,"October 31, 2020"
113,https://www.thenews.com.pk/archive/print/183546,"June 27, 2009"
114,https://www.thenews.com.pk/print/594901-pm-imran-khan-for-joint-efforts-to-tackle-drug-and-child-abuse,"January 7, 2020"
115,https://www.thenews.com.pk/print/539208-cjp-directs-high-courts-to-establish-gbv-courts-by-nov-4,"October 10, 2019"
116,https://www.thenews.com.pk/print/250542-cg-shelton-reiterates-us-support-for-activism-against-gender-based-violence,"November 30, 2017"
117,https://www.thenews.com.pk/print/661345-four-accused-held-in-waziristan-honour-killing-case,"May 20, 2020"
118,https://www.thenews.com.pk/latest/714737-suspect-in-motorway-gang-rape-case-confesses-to-crime-main-suspect-remains-at-large,"September 14, 2020"
